4K频道,#genre#
CCTV4K超高清 ,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV16-4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
歡笑劇場4k,https://live.goodiptv.club/api/bestv.php?id=hxjc4k/15000000

bestv央視,#genre#
1綜合,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
2財經,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
3綜藝,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
4中文國際,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
5體育,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
5+體育賽事,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
6電影,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
7國防軍事,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
8電視劇,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
9紀錄,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
10科教,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
11戲曲,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
12社會與法,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
13新聞,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
14少兒,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
15音樂,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
16奧林匹克,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
17農業農村,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000

bestv衛視,#genre#
江蘇衛視,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
浙江衛視,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
湖南衛視,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
北京衛視,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
東方衛視,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
